train.py --algo ppo --env MiniGrid-DLEnv-random-v0 --model MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_3_ --frames 1500000 --seed 3 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DLEnv-random-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_3_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=3, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0245 | D 8 | rR:μσmM 0.22 0.39 0.00 0.95 | F:μσmM 26.8 38.7 0.0 108.0 | H 1.940 | V -0.004 | pL -0.030 | vL 0.015 | ∇ 0.087
U 2 | F 004096 | FPS 0253 | D 16 | rR:μσmM 0.33 0.39 0.00 0.95 | F:μσmM 85.8 80.9 0.0 235.0 | H 1.937 | V 0.010 | pL -0.018 | vL 0.005 | ∇ 0.052
U 3 | F 006144 | FPS 0254 | D 24 | rR:μσmM 0.31 0.34 0.00 0.88 | F:μσmM 137.9 88.7 4.0 311.0 | H 1.938 | V 0.027 | pL -0.023 | vL 0.009 | ∇ 0.075
U 4 | F 008192 | FPS 0254 | D 32 | rR:μσmM 0.18 0.34 0.00 0.95 | F:μσmM 203.4 173.7 4.0 405.0 | H 1.936 | V 0.039 | pL -0.017 | vL 0.011 | ∇ 0.081
U 5 | F 010240 | FPS 0251 | D 40 | rR:μσmM 0.22 0.33 0.00 0.95 | F:μσmM 163.8 152.0 4.0 405.0 | H 1.936 | V 0.043 | pL -0.004 | vL 0.003 | ∇ 0.056
U 6 | F 012288 | FPS 0256 | D 48 | rR:μσmM 0.38 0.40 0.00 0.98 | F:μσmM 153.9 141.8 3.0 405.0 | H 1.934 | V 0.070 | pL -0.027 | vL 0.015 | ∇ 0.057
U 7 | F 014336 | FPS 0253 | D 56 | rR:μσmM 0.22 0.38 0.00 0.96 | F:μσmM 186.2 174.6 3.0 405.0 | H 1.930 | V 0.071 | pL 0.002 | vL 0.006 | ∇ 0.060
U 8 | F 016384 | FPS 0264 | D 64 | rR:μσmM 0.17 0.30 0.00 0.88 | F:μσmM 253.0 159.9 17.0 405.0 | H 1.926 | V 0.070 | pL -0.004 | vL 0.006 | ∇ 0.048
U 9 | F 018432 | FPS 0264 | D 72 | rR:μσmM 0.31 0.40 0.00 1.00 | F:μσmM 186.8 154.2 2.0 405.0 | H 1.924 | V 0.078 | pL -0.007 | vL 0.010 | ∇ 0.066
U 10 | F 020480 | FPS 0257 | D 80 | rR:μσmM 0.28 0.39 0.00 1.00 | F:μσmM 171.2 155.9 2.0 405.0 | H 1.920 | V 0.077 | pL 0.006 | vL 0.006 | ∇ 0.034
Status saved
U 11 | F 022528 | FPS 0252 | D 88 | rR:μσmM 0.27 0.36 0.00 1.00 | F:μσmM 210.1 162.2 2.0 405.0 | H 1.915 | V 0.085 | pL -0.010 | vL 0.008 | ∇ 0.047
U 12 | F 024576 | FPS 0249 | D 96 | rR:μσmM 0.27 0.35 0.00 0.94 | F:μσmM 157.2 157.3 2.0 405.0 | H 1.913 | V 0.085 | pL -0.006 | vL 0.009 | ∇ 0.056
