train.py --algo ppo --env MiniGrid-DLEnv-random-v0 --model MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_ --frames 1500000 --seed 5 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DLEnv-random-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_5_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=5, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0220 | D 9 | rR:μσmM 0.17 0.35 0.00 0.92 | F:μσmM 11.8 22.1 0.0 76.0 | H 1.944 | V 0.048 | pL -0.017 | vL 0.011 | ∇ 0.056
U 2 | F 004096 | FPS 0227 | D 18 | rR:μσmM 0.33 0.38 0.00 0.92 | F:μσmM 56.7 68.3 0.0 231.0 | H 1.944 | V 0.054 | pL -0.010 | vL 0.006 | ∇ 0.040
U 3 | F 006144 | FPS 0229 | D 27 | rR:μσmM 0.46 0.38 0.00 0.96 | F:μσmM 82.0 79.5 0.0 255.0 | H 1.944 | V 0.059 | pL -0.009 | vL 0.007 | ∇ 0.054
U 4 | F 008192 | FPS 0229 | D 36 | rR:μσmM 0.12 0.33 0.00 1.00 | F:μσmM 283.4 180.5 1.0 405.0 | H 1.944 | V 0.051 | pL 0.010 | vL 0.003 | ∇ 0.026
U 5 | F 010240 | FPS 0226 | D 45 | rR:μσmM 0.38 0.44 0.00 1.00 | F:μσmM 153.1 158.6 1.0 405.0 | H 1.944 | V 0.059 | pL -0.006 | vL 0.007 | ∇ 0.037
U 6 | F 012288 | FPS 0221 | D 54 | rR:μσmM 0.29 0.39 0.00 1.00 | F:μσmM 190.9 155.4 2.0 405.0 | H 1.943 | V 0.057 | pL 0.004 | vL 0.002 | ∇ 0.031
U 7 | F 014336 | FPS 0222 | D 63 | rR:μσmM 0.17 0.32 0.00 0.98 | F:μσmM 245.8 168.3 3.0 405.0 | H 1.943 | V 0.059 | pL -0.002 | vL 0.006 | ∇ 0.033
U 8 | F 016384 | FPS 0222 | D 73 | rR:μσmM 0.26 0.38 0.00 0.98 | F:μσmM 213.7 172.7 3.0 405.0 | H 1.943 | V 0.064 | pL -0.002 | vL 0.006 | ∇ 0.040
U 9 | F 018432 | FPS 0219 | D 82 | rR:μσmM 0.27 0.38 0.00 0.98 | F:μσmM 198.1 158.8 7.0 405.0 | H 1.943 | V 0.063 | pL -0.000 | vL 0.005 | ∇ 0.035
U 10 | F 020480 | FPS 0216 | D 91 | rR:μσmM 0.04 0.15 0.00 0.60 | F:μσmM 203.2 182.4 1.0 405.0 | H 1.943 | V 0.051 | pL 0.010 | vL 0.002 | ∇ 0.022
Status saved
U 11 | F 022528 | FPS 0218 | D 101 | rR:μσmM 0.04 0.16 0.00 0.64 | F:μσmM 193.8 189.7 1.0 405.0 | H 1.943 | V 0.046 | pL 0.007 | vL 0.001 | ∇ 0.015
U 12 | F 024576 | FPS 0218 | D 110 | rR:μσmM 0.18 0.34 0.00 0.98 | F:μσmM 222.6 170.2 2.0 405.0 | H 1.943 | V 0.051 | pL -0.002 | vL 0.006 | ∇ 0.026
U 13 | F 026624 | FPS 0220 | D 120 | rR:μσmM 0.13 0.31 0.00 0.95 | F:μσmM 259.0 157.0 1.0 405.0 | H 1.943 | V 0.042 | pL 0.011 | vL 0.000 | ∇ 0.014
U 14 | F 028672 | FPS 0217 | D 129 | rR:μσmM 0.37 0.41 0.00 0.98 | F:μσmM 166.3 162.6 1.0 405.0 | H 1.941 | V 0.066 | pL -0.026 | vL 0.015 | ∇ 0.045
U 15 | F 030720 | FPS 0218 | D 138 | rR:μσmM 0.43 0.41 0.00 0.98 | F:μσmM 142.6 141.5 2.0 405.0 | H 1.940 | V 0.075 | pL -0.006 | vL 0.005 | ∇ 0.023
U 16 | F 032768 | FPS 0219 | D 148 | rR:μσmM 0.42 0.39 0.00 0.97 | F:μσmM 191.9 142.2 12.0 405.0 | H 1.939 | V 0.073 | pL -0.004 | vL 0.007 | ∇ 0.027
U 17 | F 034816 | FPS 0218 | D 157 | rR:μσmM 0.22 0.33 0.00 0.97 | F:μσmM 220.9 153.0 3.0 405.0 | H 1.937 | V 0.070 | pL 0.005 | vL 0.005 | ∇ 0.033
