train.py --algo ppo --env MiniGrid-DLEnv-random-v0 --model MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_ --frames 1500000 --seed 4 --Method Adaptive_Quantization

Namespace(Method='Adaptive_Quantization', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DLEnv-random-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=4, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0167 | D 12 | rR:μσmM 0.29 0.43 0.00 0.99 | F:μσmM 17.7 24.6 0.0 91.0 | H 1.938 | V -0.081 | pL -0.044 | vL 0.014 | ∇ 0.125
U 2 | F 004096 | FPS 0175 | D 23 | rR:μσmM 0.39 0.45 0.00 0.99 | F:μσmM 25.1 33.0 0.0 113.0 | H 1.937 | V -0.065 | pL -0.026 | vL 0.007 | ∇ 0.083
U 3 | F 006144 | FPS 0175 | D 35 | rR:μσmM 0.39 0.45 0.00 0.99 | F:μσmM 33.9 42.5 0.0 141.0 | H 1.938 | V -0.059 | pL -0.012 | vL 0.000 | ∇ 0.056
U 4 | F 008192 | FPS 0178 | D 47 | rR:μσmM 0.17 0.34 0.00 0.95 | F:μσmM 321.1 149.7 23.0 405.0 | H 1.940 | V -0.022 | pL -0.039 | vL 0.015 | ∇ 0.112
U 5 | F 010240 | FPS 0182 | D 58 | rR:μσmM 0.17 0.36 0.00 0.95 | F:μσmM 228.2 163.4 23.0 405.0 | H 1.941 | V -0.020 | pL -0.004 | vL 0.000 | ∇ 0.053
U 6 | F 012288 | FPS 0183 | D 69 | rR:μσmM 0.26 0.41 0.00 0.97 | F:μσmM 194.9 157.1 12.0 405.0 | H 1.941 | V -0.013 | pL -0.006 | vL 0.001 | ∇ 0.047
U 7 | F 014336 | FPS 0182 | D 80 | rR:μσmM 0.21 0.38 0.00 1.00 | F:μσmM 285.2 174.8 2.0 405.0 | H 1.941 | V -0.001 | pL -0.011 | vL 0.005 | ∇ 0.050
U 8 | F 016384 | FPS 0182 | D 92 | rR:μσmM 0.14 0.32 0.00 1.00 | F:μσmM 241.8 182.6 2.0 405.0 | H 1.941 | V 0.001 | pL -0.002 | vL 0.000 | ∇ 0.052
U 9 | F 018432 | FPS 0182 | D 103 | rR:μσmM 0.07 0.17 0.00 0.68 | F:μσmM 240.0 163.3 3.0 405.0 | H 1.941 | V 0.006 | pL -0.007 | vL 0.003 | ∇ 0.049
U 10 | F 020480 | FPS 0182 | D 114 | rR:μσmM 0.25 0.40 0.00 0.98 | F:μσmM 186.5 185.7 4.0 405.0 | H 1.940 | V 0.025 | pL -0.021 | vL 0.013 | ∇ 0.085
Status saved
U 11 | F 022528 | FPS 0180 | D 126 | rR:μσmM 0.29 0.42 0.00 0.98 | F:μσmM 200.7 174.2 8.0 405.0 | H 1.939 | V 0.036 | pL -0.008 | vL 0.007 | ∇ 0.055
U 12 | F 024576 | FPS 0185 | D 137 | rR:μσmM 0.21 0.34 0.00 0.97 | F:μσmM 260.8 157.3 13.0 405.0 | H 1.938 | V 0.039 | pL -0.006 | vL 0.005 | ∇ 0.062
