train.py --algo ppo --env MiniGrid-DLEnv-random-v0 --model MiniGrid-DLEnv-random-v0_Adaptive_Quantization_5_ --frames 1500000 --seed 5 --Method Adaptive_Quantization

Namespace(Method='Adaptive_Quantization', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DLEnv-random-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-DLEnv-random-v0_Adaptive_Quantization_5_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=5, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0260 | D 7 | rR:μσmM 0.17 0.36 0.00 0.96 | F:μσmM 11.1 17.8 0.0 55.0 | H 1.944 | V 0.048 | pL -0.012 | vL 0.009 | ∇ 0.060
U 2 | F 004096 | FPS 0270 | D 15 | rR:μσmM 0.29 0.39 0.00 0.96 | F:μσmM 55.9 61.0 0.0 180.0 | H 1.944 | V 0.056 | pL -0.005 | vL 0.004 | ∇ 0.044
U 3 | F 006144 | FPS 0282 | D 22 | rR:μσmM 0.29 0.39 0.00 0.96 | F:μσmM 55.9 61.0 0.0 180.0 | H 1.944 | V 0.045 | pL 0.009 | vL 0.000 | ∇ 0.031
U 4 | F 008192 | FPS 0282 | D 29 | rR:μσmM 0.11 0.30 0.00 0.96 | F:μσmM 292.4 174.6 9.0 405.0 | H 1.944 | V 0.050 | pL -0.006 | vL 0.009 | ∇ 0.064
U 5 | F 010240 | FPS 0282 | D 37 | rR:μσmM 0.17 0.35 0.00 0.96 | F:μσmM 165.6 168.1 2.0 405.0 | H 1.944 | V 0.043 | pL 0.010 | vL 0.000 | ∇ 0.029
U 6 | F 012288 | FPS 0268 | D 44 | rR:μσmM 0.26 0.39 0.00 0.96 | F:μσmM 155.6 154.4 2.0 405.0 | H 1.943 | V 0.047 | pL 0.000 | vL 0.004 | ∇ 0.036
U 7 | F 014336 | FPS 0267 | D 52 | rR:μσmM 0.21 0.33 0.00 0.96 | F:μσmM 256.0 163.1 17.0 405.0 | H 1.943 | V 0.043 | pL 0.000 | vL 0.002 | ∇ 0.036
U 8 | F 016384 | FPS 0268 | D 60 | rR:μσmM 0.17 0.34 0.00 0.99 | F:μσmM 163.2 152.5 1.0 405.0 | H 1.941 | V 0.050 | pL -0.007 | vL 0.007 | ∇ 0.032
U 9 | F 018432 | FPS 0269 | D 67 | rR:μσmM 0.32 0.41 0.00 1.00 | F:μσmM 103.6 124.9 2.0 405.0 | H 1.938 | V 0.062 | pL -0.025 | vL 0.016 | ∇ 0.070
U 10 | F 020480 | FPS 0272 | D 75 | rR:μσmM 0.38 0.40 0.00 0.98 | F:μσmM 91.9 108.0 4.0 405.0 | H 1.935 | V 0.060 | pL -0.002 | vL 0.003 | ∇ 0.037
Status saved
U 11 | F 022528 | FPS 0285 | D 82 | rR:μσmM 0.21 0.34 0.00 0.98 | F:μσmM 201.1 156.6 4.0 405.0 | H 1.932 | V 0.059 | pL -0.005 | vL 0.008 | ∇ 0.049
U 12 | F 024576 | FPS 0284 | D 89 | rR:μσmM 0.18 0.35 0.00 0.98 | F:μσmM 245.2 167.8 11.0 405.0 | H 1.934 | V 0.051 | pL 0.009 | vL 0.000 | ∇ 0.024
