train.py --algo ppo --env MiniGrid-DoorKey-5x5-v0 --model MiniGrid-DoorKey-5x5-v0_Adaptive_Hierachical_1_ --frames 1500000 --seed 1 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-DoorKey-5x5-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-DoorKey-5x5-v0_Adaptive_Hierachical_1_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=1, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0228 | D 8 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.942 | V -0.086 | pL -0.016 | vL 0.000 | ∇ 0.017
U 2 | F 004096 | FPS 0235 | D 17 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 249.2 2.9 238.0 250.0 | H 1.940 | V -0.055 | pL -0.022 | vL 0.000 | ∇ 0.027
U 3 | F 006144 | FPS 0234 | D 26 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 249.2 2.9 238.0 250.0 | H 1.942 | V -0.049 | pL -0.009 | vL 0.000 | ∇ 0.015
U 4 | F 008192 | FPS 0235 | D 35 | rR:μσmM 0.06 0.15 0.00 0.47 | F:μσmM 237.6 32.8 147.0 250.0 | H 1.944 | V -0.022 | pL -0.014 | vL 0.001 | ∇ 0.037
U 5 | F 010240 | FPS 0236 | D 43 | rR:μσmM 0.06 0.15 0.00 0.47 | F:μσmM 237.6 32.8 147.0 250.0 | H 1.945 | V -0.023 | pL -0.004 | vL 0.000 | ∇ 0.013
U 6 | F 012288 | FPS 0235 | D 52 | rR:μσmM 0.03 0.09 0.00 0.34 | F:μσmM 244.4 17.0 182.0 250.0 | H 1.945 | V -0.009 | pL -0.011 | vL 0.001 | ∇ 0.017
U 7 | F 014336 | FPS 0235 | D 61 | rR:μσmM 0.03 0.09 0.00 0.34 | F:μσmM 244.4 17.0 182.0 250.0 | H 1.945 | V -0.010 | pL -0.002 | vL 0.000 | ∇ 0.009
U 8 | F 016384 | FPS 0235 | D 70 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 245.9 15.7 185.0 250.0 | H 1.945 | V 0.000 | pL -0.006 | vL 0.001 | ∇ 0.027
U 9 | F 018432 | FPS 0235 | D 78 | rR:μσmM 0.05 0.13 0.00 0.45 | F:μσmM 239.8 27.6 152.0 250.0 | H 1.945 | V 0.008 | pL -0.002 | vL 0.000 | ∇ 0.018
U 10 | F 020480 | FPS 0235 | D 87 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 243.9 23.7 152.0 250.0 | H 1.945 | V 0.005 | pL 0.001 | vL 0.000 | ∇ 0.008
Status saved
U 11 | F 022528 | FPS 0233 | D 96 | rR:μσmM 0.02 0.09 0.00 0.38 | F:μσmM 245.1 18.9 172.0 250.0 | H 1.946 | V 0.009 | pL -0.002 | vL 0.001 | ∇ 0.016
U 12 | F 024576 | FPS 0234 | D 105 | rR:μσmM 0.02 0.09 0.00 0.38 | F:μσmM 245.1 18.9 172.0 250.0 | H 1.946 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.007
