train.py --algo ppo --env MiniGrid-Empty-5x5-v0 --model MiniGrid-Empty-5x5-v0_Adaptive_Hierachical_2_ --frames 1500000 --seed 2 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Empty-5x5-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-Empty-5x5-v0_Adaptive_Hierachical_2_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=2, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0250 | D 8 | rR:μσmM 0.33 0.30 0.00 0.87 | F:μσmM 70.6 29.2 15.0 100.0 | H 1.943 | V 0.084 | pL -0.032 | vL 0.012 | ∇ 0.067
U 2 | F 004096 | FPS 0264 | D 15 | rR:μσmM 0.17 0.30 0.00 0.88 | F:μσmM 84.8 28.6 13.0 100.0 | H 1.940 | V 0.078 | pL 0.007 | vL 0.007 | ∇ 0.047
U 3 | F 006144 | FPS 0269 | D 23 | rR:μσmM 0.20 0.30 0.00 0.85 | F:μσmM 81.1 28.6 17.0 100.0 | H 1.940 | V 0.086 | pL -0.006 | vL 0.010 | ∇ 0.065
U 4 | F 008192 | FPS 0263 | D 31 | rR:μσmM 0.23 0.29 0.00 0.88 | F:μσmM 80.1 28.3 13.0 100.0 | H 1.937 | V 0.107 | pL -0.006 | vL 0.008 | ∇ 0.063
U 5 | F 010240 | FPS 0260 | D 39 | rR:μσmM 0.15 0.24 0.00 0.69 | F:μσmM 86.3 22.4 35.0 100.0 | H 1.933 | V 0.100 | pL 0.002 | vL 0.007 | ∇ 0.067
U 6 | F 012288 | FPS 0260 | D 47 | rR:μσmM 0.12 0.20 0.00 0.66 | F:μσmM 89.9 17.8 38.0 100.0 | H 1.928 | V 0.093 | pL 0.007 | vL 0.005 | ∇ 0.040
U 7 | F 014336 | FPS 0267 | D 54 | rR:μσmM 0.36 0.32 0.00 0.90 | F:μσmM 67.1 31.9 11.0 100.0 | H 1.915 | V 0.124 | pL -0.041 | vL 0.021 | ∇ 0.099
U 8 | F 016384 | FPS 0270 | D 62 | rR:μσmM 0.39 0.33 0.00 0.90 | F:μσmM 64.3 32.8 11.0 100.0 | H 1.890 | V 0.159 | pL -0.044 | vL 0.022 | ∇ 0.140
U 9 | F 018432 | FPS 0272 | D 69 | rR:μσmM 0.36 0.37 0.00 0.95 | F:μσmM 65.9 35.8 6.0 100.0 | H 1.854 | V 0.180 | pL -0.032 | vL 0.024 | ∇ 0.105
U 10 | F 020480 | FPS 0269 | D 77 | rR:μσmM 0.35 0.32 0.00 0.88 | F:μσmM 68.2 31.0 13.0 100.0 | H 1.812 | V 0.170 | pL 0.007 | vL 0.010 | ∇ 0.080
Status saved
U 11 | F 022528 | FPS 0271 | D 85 | rR:μσmM 0.48 0.32 0.00 0.93 | F:μσmM 55.1 32.0 8.0 100.0 | H 1.832 | V 0.220 | pL -0.060 | vL 0.024 | ∇ 0.099
U 12 | F 024576 | FPS 0265 | D 92 | rR:μσmM 0.44 0.30 0.00 0.92 | F:μσmM 60.1 30.6 9.0 100.0 | H 1.850 | V 0.232 | pL -0.017 | vL 0.016 | ∇ 0.104
