train.py --algo ppo --env MiniGrid-Empty-5x5-v0 --model MiniGrid-Empty-5x5-v0_Adaptive_Hierachical_4_ --frames 1500000 --seed 4 --Method Adaptive_Hierachical

Namespace(Method='Adaptive_Hierachical', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Empty-5x5-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-Empty-5x5-v0_Adaptive_Hierachical_4_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=4, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0230 | D 8 | rR:μσmM 0.29 0.31 0.00 0.83 | F:μσmM 73.8 29.3 19.0 100.0 | H 1.934 | V -0.038 | pL -0.081 | vL 0.018 | ∇ 0.112
U 2 | F 004096 | FPS 0242 | D 17 | rR:μσmM 0.24 0.29 0.00 0.82 | F:μσmM 78.0 27.8 20.0 100.0 | H 1.927 | V 0.029 | pL -0.056 | vL 0.015 | ∇ 0.110
U 3 | F 006144 | FPS 0241 | D 25 | rR:μσmM 0.20 0.26 0.00 0.76 | F:μσmM 82.4 24.1 27.0 100.0 | H 1.922 | V 0.064 | pL -0.039 | vL 0.011 | ∇ 0.104
U 4 | F 008192 | FPS 0247 | D 34 | rR:μσmM 0.22 0.28 0.00 0.73 | F:μσmM 80.3 26.8 30.0 100.0 | H 1.915 | V 0.081 | pL -0.024 | vL 0.011 | ∇ 0.070
U 5 | F 010240 | FPS 0243 | D 42 | rR:μσmM 0.36 0.31 0.00 0.95 | F:μσmM 67.7 30.4 5.0 100.0 | H 1.908 | V 0.122 | pL -0.039 | vL 0.015 | ∇ 0.093
U 6 | F 012288 | FPS 0242 | D 51 | rR:μσmM 0.37 0.31 0.00 0.85 | F:μσmM 67.1 31.0 17.0 100.0 | H 1.898 | V 0.160 | pL -0.050 | vL 0.020 | ∇ 0.150
U 7 | F 014336 | FPS 0243 | D 59 | rR:μσmM 0.29 0.31 0.00 0.85 | F:μσmM 73.9 29.9 17.0 100.0 | H 1.897 | V 0.151 | pL 0.002 | vL 0.011 | ∇ 0.106
U 8 | F 016384 | FPS 0244 | D 67 | rR:μσmM 0.33 0.36 0.00 0.90 | F:μσmM 69.6 35.1 11.0 100.0 | H 1.893 | V 0.145 | pL 0.012 | vL 0.010 | ∇ 0.084
U 9 | F 018432 | FPS 0244 | D 76 | rR:μσmM 0.28 0.30 0.00 0.91 | F:μσmM 75.5 29.5 10.0 100.0 | H 1.887 | V 0.158 | pL -0.011 | vL 0.013 | ∇ 0.091
U 10 | F 020480 | FPS 0246 | D 84 | rR:μσmM 0.41 0.34 0.00 0.91 | F:μσmM 62.5 33.0 10.0 100.0 | H 1.870 | V 0.179 | pL -0.025 | vL 0.019 | ∇ 0.151
Status saved
U 11 | F 022528 | FPS 0243 | D 93 | rR:μσmM 0.42 0.31 0.00 0.94 | F:μσmM 61.7 31.0 7.0 100.0 | H 1.841 | V 0.193 | pL -0.031 | vL 0.018 | ∇ 0.121
U 12 | F 024576 | FPS 0243 | D 101 | rR:μσmM 0.29 0.33 0.00 0.87 | F:μσmM 73.6 31.9 15.0 100.0 | H 1.817 | V 0.185 | pL 0.008 | vL 0.015 | ∇ 0.112
