train.py --algo ppo --env MiniGrid-Empty-5x5-v0 --model MiniGrid-Empty-5x5-v0_Adaptive_Quantization_1_ --frames 1500000 --seed 1 --Method Adaptive_Quantization

Namespace(Method='Adaptive_Quantization', NUM_UNITS=4, Number_active=2, UnitActivityMask=None, algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Empty-5x5-v0', epochs=4, frames=1500000, frames_per_proc=128, freeze_sharedParameters=False, gae_lambda=0.95, k=2, log_interval=1, lr=0.0001, max_grad_norm=0.5, mem=True, model='MiniGrid-Empty-5x5-v0_Adaptive_Quantization_1_', model_dir_save=None, num_schemas=4, optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=32, rim_type='Original', rnn_cell='LSTM', save_interval=10, schema_weighting=None, seed=1, text=False, use_rim=False, value_loss_coef=0.5)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
number of model parameters:54736

Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
  (QuantizerFunction): QuantizerFunction(
    (Quantization_projector): Linear(in_features=64, out_features=8, bias=True)
    (Quantization_projector_back): Linear(in_features=8, out_features=64, bias=True)
    (QuantizeFunctions): ModuleList(
      (0): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 8)
      )
      (1): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 4)
      )
      (2): Quantize(
        (out_proj): Linear(in_features=8, out_features=8, bias=True)
        (embed): Embedding(32, 2)
      )
    )
    (quantization_attention): MultiheadAttention(
      (out_proj): _LinearWithBias(in_features=8, out_features=8, bias=True)
    )
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0238 | D 8 | rR:μσmM 0.36 0.34 0.00 0.91 | F:μσmM 66.0 33.3 10.0 100.0 | H 1.942 | V 0.118 | pL -0.031 | vL 0.018 | ∇ 0.207
U 2 | F 004096 | FPS 0245 | D 16 | rR:μσmM 0.21 0.32 0.00 0.86 | F:μσmM 80.8 30.6 16.0 100.0 | H 1.939 | V 0.117 | pL 0.004 | vL 0.011 | ∇ 0.077
U 3 | F 006144 | FPS 0248 | D 25 | rR:μσmM 0.27 0.32 0.00 0.89 | F:μσmM 75.2 31.1 12.0 100.0 | H 1.936 | V 0.121 | pL -0.006 | vL 0.012 | ∇ 0.097
U 4 | F 008192 | FPS 0246 | D 33 | rR:μσmM 0.36 0.32 0.00 0.89 | F:μσmM 67.4 31.1 12.0 100.0 | H 1.930 | V 0.154 | pL -0.035 | vL 0.016 | ∇ 0.126
U 5 | F 010240 | FPS 0244 | D 41 | rR:μσmM 0.26 0.31 0.00 0.80 | F:μσmM 76.2 29.8 22.0 100.0 | H 1.924 | V 0.147 | pL 0.004 | vL 0.010 | ∇ 0.065
U 6 | F 012288 | FPS 0215 | D 51 | rR:μσmM 0.28 0.32 0.00 0.92 | F:μσmM 74.2 31.4 9.0 100.0 | H 1.920 | V 0.156 | pL -0.011 | vL 0.015 | ∇ 0.109
U 7 | F 014336 | FPS 0246 | D 59 | rR:μσmM 0.33 0.28 0.00 0.82 | F:μσmM 70.4 27.2 20.0 100.0 | H 1.906 | V 0.160 | pL -0.020 | vL 0.014 | ∇ 0.088
U 8 | F 016384 | FPS 0228 | D 68 | rR:μσmM 0.35 0.35 0.00 0.95 | F:μσmM 67.8 34.7 6.0 100.0 | H 1.873 | V 0.171 | pL -0.019 | vL 0.021 | ∇ 0.131
U 9 | F 018432 | FPS 0202 | D 78 | rR:μσmM 0.45 0.32 0.00 0.91 | F:μσmM 58.1 31.8 10.0 100.0 | H 1.836 | V 0.201 | pL -0.035 | vL 0.022 | ∇ 0.165
U 10 | F 020480 | FPS 0224 | D 88 | rR:μσmM 0.41 0.31 0.00 0.88 | F:μσmM 62.7 30.1 13.0 100.0 | H 1.826 | V 0.223 | pL -0.030 | vL 0.019 | ∇ 0.135
Status saved
U 11 | F 022528 | FPS 0244 | D 96 | rR:μσmM 0.49 0.33 0.00 0.92 | F:μσmM 53.9 33.1 9.0 100.0 | H 1.743 | V 0.260 | pL -0.034 | vL 0.027 | ∇ 0.204
U 12 | F 024576 | FPS 0243 | D 104 | rR:μσmM 0.52 0.32 0.00 0.93 | F:μσmM 51.1 32.7 8.0 100.0 | H 1.709 | V 0.273 | pL -0.039 | vL 0.028 | ∇ 0.277
